全国排名,学校信息,省份,种类,总分,办学层次
4,上海交通大学    Shanghai Jiao Tong University   双一流/985/211,上海,综合,723.4,35.5
6,复旦大学    Fudan University   双一流/985/211,上海,综合,649.7,36.6
16,同济大学    Tongji University   双一流/985/211,上海,理工,508.3,33.2
29,华东师范大学    East China Normal University   双一流/985/211,上海,师范,401.8,35.2
