全国排名,学校信息,省份,种类,总分,办学层次
10,西安交通大学    Xi'an Jiaotong University   双一流/985/211,陕西,综合,537.9,34.5
25,西北工业大学    Northwestern Polytechnical University   双一流/985/211,陕西,理工,430.5,32.4
