全国排名,学校信息,省份,种类,总分,办学层次
12,中山大学    Sun Yat-Sen University   双一流/985/211,广东,综合,519.3,30.9
27,华南理工大学    South China University of Technology   双一流/985/211,广东,理工,419.8,30.5
