全国排名,学校信息,省份,种类,总分,办学层次
8,华中科技大学    Huazhong University of Science and Technology   双一流/985/211,湖北,综合,574.3,32.1
9,武汉大学    Wuhan University   双一流/985/211,湖北,综合,567.9,31.8
